location,n_cohort,n_gender,female,male,n_race,Asian,Black,race_other,race_unknown,White,n_age,age_mean,age_min,age_max,n_age_dx,age_dx_mean,age_dx_min,age_dx_max,n_BMI,BMI_mean,BMI_min,BMI_max,n_BMI_category,underweight,healthy_weight,overweight,obese,n_IBD_dx,CD,UC,IBD-U,dx_other,n_smoke_vape,current_smoke,ex_smoke,never_smoke,n_vaccine_name,Astra_Zeneca,Covaxin,Covishield,J_J,Moderna,Pfizer,Sinovac_Coronavac,n_vaccine_type,mRNA,adenovirus,inactivated,n_med_groups,antiTNF_no_imm,antiTNF_plus_imm,vedolizumab_no_imm,vedolizumab_plus_imm,imm_alone,none_of_combinations,JAK_inhibitor,5ASA_only,antiIL_12_23,none_of_meds,n_COVID_hosp,hosp_0,hosp_1,hosp_2
overall,2351,2348,1056,1292,1529,666,33,61,40,729,2342,41,31,54,2025,25,19,36,2133,24,21,28,2133,152,1000,648,333,2325,1282,1016,26,1,2206,210,343,1653,2322,486,32,192,41,299,1253,19,2322,1552,719,51,2351,764,415,583,52,78,16,13,0,128,302,2145,1271,10,864
Leuven,716,,355,361,,0,0,0,0,0,,44,32,57,,25,19,35,,25.3,22.7,28.6,,15,321,251,122,,459,246,4,0,,93,8,611,,149,0,0,25,56,478,0,,534,174,0,,302,22,190,7,11,0,11,0,65,108,,708,3,5
Toronto,67,,41,25,,2,0,4,4,56,,39,33,57,,21,16,33,,24.3,22.2,27.1,,3,27,21,5,,36,30,1,0,,3,17,46,,3,0,0,0,6,55,0,,61,3,0,,27,10,16,1,0,1,0,0,1,11,,0,0,67
Paris,32,,13,19,,0,0,0,0,0,,42,30,50,,23,15,30,,24.1,22.8,26,,1,20,10,1,,25,6,1,0,,8,6,18,,2,0,0,0,0,30,0,,30,2,0,,23,6,3,0,0,0,0,0,0,0,,3,1,28
Hong_Kong,48,,17,31,,48,0,0,0,0,,42,30,47,,29,24,39,,21.5,18.9,23.7,,10,24,9,5,,40,8,0,0,,5,5,38,,0,0,0,0,0,29,19,,29,0,19,,7,20,3,2,0,0,0,0,16,0,,48,0,0
New_Delhi,73,,30,43,,73,0,0,0,0,,39,31,47,,32,24,43,,18.2,16.4,20.1,,33,28,2,0,,26,47,0,0,,0,7,66,,0,23,50,0,0,0,0,,0,50,23,,19,12,2,0,26,0,0,0,0,14,,12,2,0
Chandigarh,152,,74,78,,152,0,0,0,0,,38,30,48,,,,,,22.7,20.2,26.2,,27,52,42,31,,4,148,0,0,,3,17,132,,0,9,142,0,0,0,0,,0,142,9,,3,4,0,0,40,0,1,0,0,104,,4,1,0
Nishinomiya,344,,100,244,,344,0,0,0,0,,42,32,52,,26,19,36,,21.7,19.8,23.9,,44,183,74,43,,209,126,9,0,,40,93,210,,0,0,0,0,77,255,0,,332,0,0,,127,139,48,11,0,6,1,0,10,2,,333,1,10
Orebro,72,,34,38,,0,0,0,0,0,,38,30,54,,,,,,26,23.5,27.9,,0,30,30,12,,40,32,0,0,,5,22,45,,5,0,0,0,10,54,0,,64,5,0,,22,38,9,3,0,0,0,0,0,0,,53,0,19
Oxford,326,,140,186,,10,1,3,30,282,,43,30,57,,27,20,42,,26.4,22.6,30.2,,2,56,46,40,,142,178,6,0,,30,101,161,,258,0,0,0,0,68,0,,68,258,0,,49,78,184,15,0,0,0,0,0,0,,0,0,326
London,101,,37,63,,27,3,14,4,52,,34,24,45,,21,16,31,,24.4,21.8,27.2,,4,50,36,8,,67,32,1,0,,5,2,75,,69,0,0,0,0,31,0,,31,69,0,,23,59,14,5,0,0,0,0,0,0,,100,0,1
New_York,369,,185,183,,10,22,38,2,297,,37,29,53,,23,17,32,,24.3,21.8,27.8,,13,188,110,53,,200,148,3,0,,16,53,214,,0,0,0,14,137,217,0,,354,14,0,,151,26,100,8,1,7,0,0,32,44,,1,1,367
Miami,40,,23,17,,0,5,1,0,34,,40,33,51,,25,19,35,,25.6,22.7,29.7,,0,18,12,10,,26,12,1,1,,1,7,32,,0,0,0,2,10,28,0,,38,2,0,,8,0,10,0,0,1,0,0,4,17,,9,1,30
Chicago,11,,7,4,,0,2,1,0,8,,55,44,67,,33,20,46,,29.2,24.7,31,,0,3,5,3,,8,3,0,0,,1,5,5,,0,0,0,0,3,8,0,,11,0,0,,3,1,4,0,0,1,0,0,0,2,,0,0,11